FileName,RetractionReason
216.pdf,Coding/Data Analysis Error
1225.pdf,Other Reasons
612.pdf,Coding/Data Analysis Error
148.pdf,Other Reasons
809.pdf,Coding/Data Analysis Error
61.pdf,Other Reasons
404.pdf,Other Reasons
376.pdf,Other Reasons
1147.pdf,Other Reasons
389.pdf,Other Reasons
388.pdf,Other Reasons
1146.pdf,Coding/Data Analysis Error
363.pdf,Other Reasons
1350.pdf,Coding/Data Analysis Error
613.pdf,Other Reasons
940.pdf,Other Reasons
1026.pdf,Coding/Data Analysis Error
559.pdf,Other Reasons
215.pdf,Other Reasons
229.pdf,Other Reasons
177.pdf,Other Reasons
611.pdf,Other Reasons
89.pdf,Other Reasons
605.pdf,Other Reasons
1352.pdf,Other Reasons
76.pdf,Coding/Data Analysis Error
836.pdf,Other Reasons
413.pdf,Other Reasons
407.pdf,Coding/Data Analysis Error
349.pdf,Other Reasons
1151.pdf,Other Reasons
348.pdf,Coding/Data Analysis Error
374.pdf,Coding/Data Analysis Error
63.pdf,Other Reasons
77.pdf,Coding/Data Analysis Error
1347.pdf,Other Reasons
604.pdf,Other Reasons
88.pdf,Other Reasons
1233.pdf,Other Reasons
200.pdf,Coding/Data Analysis Error
562.pdf,Coding/Data Analysis Error
1021.pdf,Other Reasons
760.pdf,Other Reasons
774.pdf,Other Reasons
953.pdf,Coding/Data Analysis Error
98.pdf,Other Reasons
199.pdf,Other Reasons
827.pdf,Other Reasons
1343.pdf,Other Reasons
1357.pdf,Other Reasons
370.pdf,Other Reasons
402.pdf,Other Reasons
364.pdf,Other Reasons
1169.pdf,Coding/Data Analysis Error
1155.pdf,Other Reasons
1168.pdf,Other Reasons
403.pdf,Other Reasons
359.pdf,Other Reasons
8.pdf,Coding/Data Analysis Error
832.pdf,Coding/Data Analysis Error
167.pdf,Coding/Data Analysis Error
99.pdf,Other Reasons
239.pdf,Other Reasons
213.pdf,Other Reasons
1234.pdf,Other Reasons
70.pdf,Other Reasons
414.pdf,Other Reasons
602.pdf,Other Reasons
789.pdf,Other Reasons
1037.pdf,Coding/Data Analysis Error
507.pdf,Coding/Data Analysis Error
1044.pdf,Other Reasons
1246.pdf,Coding/Data Analysis Error
671.pdf,Coding/Data Analysis Error
301.pdf,Other Reasons
467.pdf,Other Reasons
473.pdf,Other Reasons
1130.pdf,Other Reasons
894.pdf,Coding/Data Analysis Error
658.pdf,Other Reasons
937.pdf,Other Reasons
704.pdf,Other Reasons
710.pdf,Other Reasons
1284.pdf,Other Reasons
1090.pdf,Coding/Data Analysis Error
504.pdf,Other Reasons
510.pdf,Other Reasons
