Record ID,Title,Subject,Institution,Journal,Publisher,Country,Author,URLS,ArticleType,RetractionDate,RetractionDOI,RetractionPubMedID,OriginalPaperDate,OriginalPaperDOI,OriginalPaperPubMedID,RetractionNature,Reason,Paywalled,Notes
57232,High protein diet improves the overall survival in older adults with advanced gastrointestinal cancer,(HSC) Medicine - Gastroenterology;(HSC) Medicine - Geriatric;(HSC) Medicine - Oncology;(HSC) Nutrition;,"Clinical and Sports Nutrition Research Laboratory (Labince), Faculty of Nutrition, Federal University of Goias, Goiânia, GO, Brazil; Clinical Nutrition, Geneva University Hospital, Geneva, Switzerland; Department of Translational and Precision Medicine, Sapienza University of Rome, Rome, Italy",Clinical Nutrition,Elsevier,Brazil;Italy;Switzerland,Gustavo D Pimentel;Claude Pichard;Alessandro Laviano;Renata C Fernandes,,Research Article;,9/27/2024 0:00,10.1016/j.clnu.2022.04.021,39343464.0,3/3/2021 0:00,10.1016/j.clnu.2020.08.028,32919817.0,Retraction,+Error in Analyses;+Error in Methods;+Unreliable Results;+Upgrade/Update of Prior Notice;,No,
56929,Longitudinal Study on Deterrent Effect of Drug-Induced Homicide Law on Opioid-Related Mortality Across 92 Counties and the District of Columbia in the U.S.,(HSC) Medicine - Pharmacology;(HSC) Public Health and Safety;(SOC) Law/Legal Issues;,"School of Public Affairs, Pennsylvania State University Harrisburg, Middletown, PA, USA;",Journal of Drug Issues,SAGE Publications,United States,Youngeun Lee;Sung W Choi;Jonathan Lee,,Research Article;,8/18/2022 0:00,10.1177/00220426221121697,0.0,11/5/2021 0:00,10.1177/00220426211037614,0.0,Correction,+Concerns/Issues About Data;+Error in Analyses;+Error in Data;+Investigation by Journal/Publisher;+Investigation by Third Party;+Updated to Retraction;,No,
56928,Longitudinal Study on Deterrent Effect of Drug-Induced Homicide Law on Opioid-Related Mortality Across 92 Counties and the District of Columbia in the U.S.,(HSC) Medicine - Pharmacology;(HSC) Public Health and Safety;(SOC) Law/Legal Issues;,"School of Public Affairs, Pennsylvania State University Harrisburg, Middletown, PA, USA;",Journal of Drug Issues,SAGE Publications,United States,Youngeun Lee;Sung W Choi;Jonathan Lee,,Research Article;,12/22/2023 0:00,10.1177/00220426231222323,0.0,11/5/2021 0:00,10.1177/00220426211037614,0.0,Retraction,+Concerns/Issues About Data;+Error in Analyses;+Error in Data;+Investigation by Journal/Publisher;+Investigation by Third Party;+Unreliable Results;+Upgrade/Update of Prior Notice;,No,
56736,Increasing power in screening trials by testing control-arm specimens: application to multicancer detection screening,(HSC) Biostatistics/Epidemiology;(HSC) Medicine - Oncology;,"Division of Cancer Epidemiology and Genetics, Department of Health and Human Services, National Cancer Institute, National Institutes of Health, Bethesda, MD, USA; Division of Cancer Prevention, Department of Health and Human Services, National Cancer Institute, National Institutes of Health, Bethesda, MD, USA;",Journal of the National Cancer Institute,Oxford Academic,United States,Hormuzd A Katki;Philip C Prorok;Philip E Castle;Lori M Minasian;Paul F Pinsky,,Research Article;,9/12/2024 0:00,10.1093/jnci/djae217,39267576.0,4/11/2024 0:00,10.1093/jnci/djae083,38603624.0,Retraction,+Error in Analyses;+Error in Results and/or Conclusions;+Retract and Replace;,No,see https://academic.oup.com/jnci/advance-article/doi/10.1093/jnci/djae218/7755746
56477,Association of milk consumption with the incidence of cholelithiasis disease in the US adult population,(HSC) Medicine - Gastroenterology;(HSC) Nutrition;,"Department of Hepatobiliary and Pancreatic Surgery, General Surgery Center, the First Hospital of Jilin University, Changchun, Jilin, People’s Republic of China;",BMC Public Health,Springer - Biomed Central (BMC),China,Feng Jia;Yu Ma;Yahui Liu,,Research Article;,9/5/2024 0:00,10.1186/s12889-024-19943-3,39237928.0,8/28/2023 0:00,10.1186/s12889-023-16615-6,37635228.0,Retraction,+Error in Analyses;,No,
56277,Analysis of the factors influencing the college students' employment willingness under the strategy of strengthening the provincial capital,(B/T) Business - Economics;(SOC) Education;(SOC) Psychology;,"School of Public Administration, Xiangtan University, Xiangtan, Hunan, China; Business School, Xiangtan University, Xiangtan, Hunan, China;",PLoS One,PLoS,China,Yanan Zhang;Xiaowen Tian;Muhammad Tayyab Sohail,,Research Article;,8/28/2024 0:00,10.1371/journal.pone.0309771,39197035.0,12/15/2022 0:00,10.1371/journal.pone.0278164,36520835.0,Retraction,+Concerns/Issues About Results;+Concerns/Issues about Referencing/Attributions;+Error in Analyses;+Error in Methods;+Investigation by Journal/Publisher;+Objections by Author(s);+Unreliable Results;,No,
55919,Mitochondrial background can explain variable costs of immune deployment,(BLS) Biochemistry;(BLS) Biology - Cellular;(BLS) Genetics;,"Institute of Ecology and Evolution, School of Biological Sciences, University of Edinburgh, Edinburgh, United Kingdom;",Journal of Evolutionary Biology,Oxford Academic,United Kingdom,Megan A M Kutzer;Beth Cornish;Michael Jamieson;Olga Zawistowska;Katy M Monteith;Pedro F Vale,,Research Article;,8/15/2024 0:00,10.1093/jeb/voae081,39145387.0,3/8/2024 0:00,10.1093/jeb/voae027,38456649.0,Retraction,+Error in Analyses;+Error in Results and/or Conclusions;+Retract and Replace;,No,see https://academic.oup.com/jeb/advance-article/doi/10.1093/jeb/voae082/7733482
55865,Post–COVID-19 Condition in Children,(HSC) Medicine - Infectious Disease;(HSC) Medicine - Pediatrics;,"Department of Pediatrics, Faculty of Medicine and Dentistry, University of Alberta, Edmonton, Alberta, Canada; Women and Children’s Health Research Institute, Edmonton, Alberta, Canada;",JAMA Pediatrics,American Medical Association,Canada,Lyndsey M Hahn;Emilie Manny;Fabiana Mamede;Gurvinder Dhaliwal;Joyce Chikuma;Joan L Robinson;Piush J Mandhane,https://retractionwatch.com/retracted-coronavirus-covid-19-papers/,Research Article;,8/19/2024 0:00,10.1001/jamapediatrics.2024.2996,39158902.0,9/18/2023 0:00,10.1001/jamapediatrics.2023.3239,37721744.0,Retraction,+Error in Analyses;+Error in Methods;+Error in Results and/or Conclusions;,No,
55785,A room-temperature single-photon source based on strongly interacting Rydberg atoms,(PHY) Physics;,"Physikalisches Institut, Universität Stuttgart, Center for Integrated Quantum Science and Technology, 70569 Stuttgart, Germany;",Science,American Association for the Advancement of Science (AAAS),Germany,Fabian Ripka;Harald Kübler;Robert Löw;Tilman Pfau,https://retractionwatch.com/2024/08/15/authors-retract-quantum-physics-paper-from-science-after-finding-mistakes/,Research Article;,3/6/2020 0:00,10.1126/science.abb4382,32139518.0,10/26/2018 0:00,10.1126/science.aau1949,30361371.0,Correction,+Error in Analyses;+Error in Text;+Updated to Retraction;,No,
55784,A room-temperature single-photon source based on strongly interacting Rydberg atoms,(PHY) Physics;,"Physikalisches Institut, Universität Stuttgart, Center for Integrated Quantum Science and Technology, 70569 Stuttgart, Germany;",Science,American Association for the Advancement of Science (AAAS),Germany,Fabian Ripka;Harald Kübler;Robert Löw;Tilman Pfau,https://retractionwatch.com/2024/08/15/authors-retract-quantum-physics-paper-from-science-after-finding-mistakes/,Research Article;,8/15/2024 0:00,10.1126/science.adr6434,39146399.0,10/26/2018 0:00,10.1126/science.aau1949,30361371.0,Retraction,+Error in Analyses;+Error in Methods;+Error in Results and/or Conclusions;+Investigation by Third Party;+Upgrade/Update of Prior Notice;,No,
