Record ID,Title,Subject,Institution,Journal,Publisher,Country,Author,URLS,ArticleType,RetractionDate,RetractionDOI,RetractionPubMedID,OriginalPaperDate,OriginalPaperDOI,OriginalPaperPubMedID,RetractionNature,Reason,Paywalled,Notes
18323,"Role of platelets, neutrophils, and factor XII in spontaneous venous thrombosis in mice",(BLS) Anatomy/Physiology;(BLS) Biology - Cellular;,"Einthoven Laboratory for Experimental Vascular Medicine, Leiden University Medical Center, Leiden, The Netherlands; Department of Internal Medicine, Division of Thrombosis and Hemostasis, Leiden University Medical Center, Leiden, The Netherlands; Central Laboratory Animal Facility, Leiden University Medical Center, Leiden, The Netherlands; Department of Pediatrics, Division of Neonatology, Leiden University Medical Center, Leiden, The Netherlands; Department of Immunopathology, Sanquin-Academic Medical Center Landsteiner Laboratory, Amsterdam, The Netherlands; Department of Internal Medicine and Biochemistry, Maastricht University, Maastricht, The Netherlands; Department of Clinical Chemistry and Hematology, University Medical Center Utrecht, Utrecht, The Netherlands;",Blood,American Society of Hematology,Netherlands,Marco Heestermans;Salam Salloum-Asfar;Daniela Salvatori;El Houari Laghmani;Brenda M Luken;Sacha S Zeerleder;Henri M H Spronk;Suzanne J Korporaal;Gerry T M Wagenaar;Pieter H Reitsma;Bart J M van Vlijmen,,Research Article;,5/31/2018 0:00,10.1182/blood-2018-05-854596,29853540.0,5/26/2016 0:00,10.1182/blood-2015-10-672766,26932804.0,Retraction,+Error in Analyses;+Error in Results and/or Conclusions;,No,
18306,Role of Mammalian sirtuin 1 (SIRT1) in lipids metabolism and cell proliferation of goose primary hepatocytes,(BLS) Biochemistry;(BLS) Biology - Cellular;(BLS) Biology - Molecular;,"Institute of Animal Breeding & Genetic, Sichuan Agricultural University, Chengdu, Sichuan 611130, PR China; College of Life Sciences, University of Chinese Academy of Science, Beijing 100049, PR China;",Molecular and Cellular Endocrinology,Elsevier,China,Chunchun Han;Huofu Wan;Shuang Ma;Dandan Liu;Fang He;Jiwen Wang;Zhixiong Pan;Hehe Liu;Liang Li;Hua He;Hongyong Xu;Shouhai Wei;Feng Xu,,Research Article;,5/26/2018 0:00,10.1016/j.mce.2018.05.012,29807611.0,10/19/2013 0:00,10.1016/j.mce.2013.10.012,24145124.0,Retraction,+Error in Analyses;+Error in Data;+Error in Results and/or Conclusions;,No,
18295,Addition of a single methyl group to a small molecule sodium channel inhibitor introduces a new mode of gating modulation,(BLS) Anatomy/Physiology;(BLS) Biochemistry;(BLS) Biology - Cellular;,"Glaxo SmithKline, Shanghai, China; Icagen Inc., Durham, NC, USA;",British Journal of Pharmacology,Wiley,China;United States,Lingxin Wang;Shannon G Zellmer;David M Printzenhoff;Neil A Castle,,Research Article;,5/23/2018 0:00,10.1111/bph.14349,29906330.0,7/29/2015 0:00,10.1111/bph.13259,26220736.0,Retraction,+Error in Analyses;+Error in Results and/or Conclusions;+Retract and Replace;,No,republished as https://bpspubs.onlinelibrary.wiley.com/doi/full/10.1111/bph.14338.
18293,Worldwide burden of cancer attributable to diabetes and high body-mass index: a comparative risk assessment,(HSC) Biostatistics/Epidemiology;(HSC) Medicine - Diabetes;(HSC) Medicine - Oncology;(HSC) Public Health and Safety;,"School of Public Health, MRC-PHE Centre for Environment and Health; Imperial College London, London, UK; School of Mathematics, Statistics and Actuarial Science (SMSAS), University of Kent, Canterbury, UK; Department of Epidemiology and Biostatistics, School of Public Health; Imperial College London, London, UK; School of Mathematics, Statistics and Actuarial Science (SMSAS), University of Kent, Canterbury, UK; WHO Collaborating Centre on NCD Surveillance and Epidemiology; Imperial College London, London, UK; School of Mathematics, Statistics and Actuarial Science (SMSAS), University of Kent, Canterbury, UK; Nutrition and Metabolism Section, International Agency for Research on Cancer, World Health Organization, Lyon, France ;",The Lancet: Diabetes & Endocrinology,Elsevier,France;United Kingdom,Jonathan Pearson-Stuttard;Bin Zhou;Vasilis Kontis;James Bentham;Marc J Gunter;Majid Ezzati,,Research Article;,5/26/2018 0:00,10.1016/S2213-8587(18)30146-3,30056841.0,11/28/2017 0:00,10.1016/S2213-8587(17)30366-2,29195904.0,Retraction,+Error in Analyses;+Error in Methods;+Error in Results and/or Conclusions;+Retract and Replace;,No,republished: https://www.thelancet.com/journals/landia/article/PIIS2213-8587(18)30150-5/fulltext
18284,Calcium Channel Blockers and Risk of Breast Cancer: A Meta-Analysis of 17 Observational Studies,(HSC) Biostatistics/Epidemiology;(HSC) Medicine - Obstetrics/Gynecology;(HSC) Medicine - Oncology;(HSC) Medicine - Pharmacology;(HSC) Medicine - Rehabilitation/Therapy;(HSC) Public Health and Safety;,"Oncology Department of Shanghai Municipal Hospital of Traditional Chinese Medicine affiliated to Shanghai TCM University, Shanghai, China; Department of Epidemiology, School of Public Health, Fudan University, Shanghai, China;",PLoS One,PLoS,China,Wen Li;Qi Shi;Weibing Wang;Jianrong Liu;Qi Li;Fenggang Hou,http://retractionwatch.com/2018/06/11/have-you-seen-more-detail-in-plos-one-retraction-notices-youre-welcome/,Meta-Analysis;,5/23/2018 0:00,10.1371/journal.pone.0198220,29791500.0,9/3/2014 0:00,10.1371/journal.pone.0105801,25184210.0,Retraction,+Error in Analyses;+Error in Data;+Error in Methods;+Error in Results and/or Conclusions;+Error in Text;,No,
18241,Ultra-High Strength and Ductile Lamellar-Structured Powder Metallurgy Binary Ti-Ta Alloys,(PHY) Chemistry;(PHY) Engineering - Structural;(PHY) Materials Science;,"The State Key Laboratory of Powder Metallurgy, Central South University, Changsha, People’s Republic of China; The State Key Laboratory of Porous Metals, Northwestern Institute of Nonferrous Metals, Xi’an, People’s Republic of China;",JOM,Springer,China,Yong Liu;Shenghang Xu;Xin Wang;Kaiyang Li;Bin Liu;Hong Wu;Huiping Tang,,Research Article;,5/15/2018 0:00,10.1007/s11837-018-2923-z,0.0,1/13/2016 0:00,10.1007/s11837-015-1801-1,0.0,Retraction,+Error in Analyses;+Error in Data;+Error in Methods;,No,
18233,Observation of High Harmonic Generation from SiC by MIR-FEL Irradiation,(PHY) Crystallography/Spectroscopy;(PHY) Physics;,"Institute of Advanced Energ, Kyoto University, Gokasho Uji Kyoto 611-0011, Japan;",Energy Procedia,Elsevier,Japan,Kyohei Yoshida;Heishun Zen;Motoharu Inukai;Kensuke Okumura;Kenta Mishima;Kyohei Shimahashi;Marie Shibata;Hidekazu Imon;Hani Negm;Torgasin Konstantin;Mahamed Omer;Ryota Kinjo;Yoon Woon Choi;Toshiteru Kii;Kai Masuda;Hideaki Ohgaki,,Research Article;,7/15/2013 0:00,10.1016/j.egypro.2013.06.831,0.0,1/1/2013 0:00,10.1016/j.egypro.2013.06.831,0.0,Retraction,+Error in Analyses;+Error in Results and/or Conclusions;,No,
18223,Atomic scale interfacial and compositional characteristics of the sigma and gamma phases of Ni-based single-crystal superalloys,(PHY) Chemistry;(PHY) Physics;,"Key Laboratory of Liquid Structure and Heredity of Materials, Ministry of Education, Shandong University, Jinan 250061, People’s Republic of China; Institute of Microstructure and Property of Advanced Materials, Beijing University of Technology, Beijing 100124, People’s Republic of China; National Center for Materials Service Safety, University of Science and Technology Beijing, Beijing 100083, People’s Republic of China; State Key Laboratory for Advanced Metals and Materials, University of Science and Technology Beijing, Beijing 100083, People’s Republic of China;",Acta Materialia,Elsevier,China,Fei Sun;Jian Xin Zhang;P Liu;Qiang Feng;Sheng Cheng Mao;Xiao Dong Han,,Research Article;,5/10/2014 0:00,10.1016/j.actamat.2014.04.017,0.0,9/16/2012 0:00,10.1016/j.actamat.2012.08.032,0.0,Retraction,+Error in Analyses;+Error in Methods;+Error in Results and/or Conclusions;,No,
18212,Asymmetric synthesis of highly enantioenriched 2-substituted piperidines and 6-substituted piperidine-2-ones by a combination enantioselective hydrazone allylation with ring closing metathesis,(PHY) Chemistry;(PHY) Physics;,"Department of Chemistry, Yonsei University, Wonju 220-710, Republic of Korea;",Tetrahedron,Elsevier,South Korea,Fengnu Piao;Mithilesh Kumar Mishra;Doo Ok Jang,,Research Article;,1/2/2015 0:00,10.1016/j.tet.2014.12.060,0.0,6/22/2012 0:00,10.1016/j.tet.2012.06.061,0.0,Retraction,+Error in Analyses;+Error in Results and/or Conclusions;,No,
18207,Phase-field simulation of Suzuki segregation in Co–Ni-based superalloy with Nb-addition,(PHY) Chemistry;(PHY) Physics;,"Institute for Materials Research, Tohoku University, Sendai, Japan;",Intermetallics,Elsevier,Japan,Yuichiro Koizumi;Shou Suzuki;Takuma Otomo;Shingo Kurosu;Yunping Li;Hiroaki Matsumoto;Akihiko Chiba,,Research Article;,8/8/2012 0:00,10.1016/j.intermet.2012.07.010,0.0,5/29/2012 0:00,10.1016/j.intermet.2012.01.008,0.0,Retraction,+Error in Analyses;+Unreliable Results;,No,
